,row,col,replicate,ident,grid_name,name1,name2,name3,hmdb_id1,hmdb_id2,hmdb_id3
0_0,0,0,0,A1,0_0,Biotin,,,HMDB0000030,,
0_1,0,1,0,A2,0_1,Adenine,,,HMDB0000034,,
0_2,0,2,0,A3,0_2,Glycerophosphocholine,,,HMDB0000086,,
0_3,0,3,0,A4,0_3,L-Tyrosine,,,HMDB0000158,,
0_4,0,4,0,A5,0_4,L-Cystine,,,HMDB0000192,,
0_5,0,5,0,A6,0_5,Pantothenic Acid,,,HMDB0000210,,
0_6,0,6,0,A7,0_6,Ornithine,,,HMDB0000214,,
0_7,0,7,0,A8,0_7,L-Acetylcarnitine,,,HMDB0000201,,
0_8,0,8,0,A9,0_8,Riboflavin,,,HMDB0000244,,
1_0,1,0,0,A10,1_0,Taurine,,,HMDB0000251,,
1_1,1,1,0,A11,1_1,Phosphoserine,,,HMDB0000272,,
1_2,1,2,0,B1,1_2,UDP,,,HMDB0000295,,
1_3,1,3,0,B2,1_3,L-Arginine,,,HMDB0000517,,
1_4,1,4,0,B3,1_4,Creatinine,,,HMDB0000562,,
1_5,1,5,0,B4,1_5,Cytosine,,,HMDB0000630,,
1_6,1,6,0,B5,1_6,Cholesterol Sulfate,,,HMDB0000653,,
1_7,1,7,0,B6,1_7,Stearic Acid,,,HMDB0000827,,
1_8,1,8,0,B7,1_8,L-Tryptophan,,,HMDB0000929,,
2_0,2,0,0,B8,2_0,dATP,,,HMDB0001532,,
2_1,2,1,0,B9,2_1,Oleamide,,,HMDB0002117,,
2_2,2,2,0,B10,2_2,LysoPC(16:0),,,HMDB0010382,,
2_3,2,3,0,C1,2_3,Adenosine,,,HMDB0000050,,
2_4,2,4,0,C2,2_4,Creatine,,,HMDB0000064,,
2_5,2,5,0,C3,2_5,3’ Deoxyadenosine,,,HMDB0000101,,
2_6,2,6,0,C4,2_6,Glutathione (red),,,HMDB0000125,,
2_7,2,7,0,C5,2_7,Guanosine,,,HMDB0000133,,
2_8,2,8,0,C6,2_8,L-Glutamic acid,,,HMDB0000148,,
3_0,3,0,0,C7,3_0,Sphingosine,,,HMDB0000252,,
3_1,3,1,0,C8,3_1,Spermine,,,HMDB0001256,,
3_2,3,2,0,C9,3_2,LysoPE(18:0),,,HMDB0011130,,
3_3,3,3,0,C10,3_3,dGDP,,,HMDB0000960,,
3_4,3,4,0,CD1,3_4,Adenosine,Deoxyguanosine,,HMDB0000050,HMDB0000085,
3_5,3,5,0,CD2,3_5,Creatine,Beta-Guanidinopropionic acid,,HMDB0000064,HMDB0013222,
3_6,3,6,0,CD3,3_6,3’ Deoxyadenosine,5'-Deoxyadenosine,,HMDB0000101,HMDB0001983,
3_7,3,7,0,CD4,3_7,Glutathione (red),Oxidized glutathione,,HMDB0000125,HMDB0003337,
3_8,3,8,0,CD5,3_8,Guanosine,8-Hydroxy-deoxyguanosine,,HMDB0000133,HMDB0003333,
4_0,4,0,0,CD6,4_0,L-Glutamic acid,N-Acetylserine,,HMDB0000148,HMDB0002931,
4_1,4,1,0,CD7,4_1,Sphingosine,Palmitoylethanolamide,,HMDB0000252,HMDB0002100,
4_2,4,2,0,CD8,4_2,Spermine,Spermidine,,HMDB0001256,HMDB0001257,
4_3,4,3,0,CD9,4_3,LysoPE(18:0),LysoPC(15:0),,HMDB0011130,HMDB0010381,
4_4,4,4,0,CD10,4_4,dGDP,ADP,,HMDB0000960,HMDB0001341,
4_5,4,5,0,D1,4_5,Deoxyguanosine,,,HMDB0000085,,
4_6,4,6,0,D2,4_6,Beta-Guanidinopropionic acid,,,HMDB0013222,,
4_7,4,7,0,D3,4_7,5'-Deoxyadenosine,,,HMDB0001983,,
4_8,4,8,0,D4,4_8,Oxidized glutathione,,,HMDB0003337,,
5_0,5,0,0,D5,5_0,8-Hydroxy-deoxyguanosine,,,HMDB0003333,,
5_1,5,1,0,D6,5_1,N-Acetylserine,,,HMDB0002931,,
5_2,5,2,0,D7,5_2,Palmitoylethanolamide,,,HMDB0002100,,
5_3,5,3,0,D8,5_3,Spermidine,,,HMDB0001257,,
5_4,5,4,0,D9,5_4,LysoPC(15:0),,,HMDB0010381,,
5_5,5,5,0,D10,5_5,ADP,,,HMDB0001341,,
5_6,5,6,0,E1,5_6,Betaine,,,HMDB0000043,,
5_7,5,7,0,E2,5_7,Alanylglycine,,,HMDB0006899,,
5_8,5,8,0,E3,5_8,Tauroursodeoxycholic acid,,,HMDB0000874,,
6_0,6,0,0,E14,6_0,Betaine,L-Valine,,HMDB0000043,HMDB0000883,
6_1,6,1,0,E25,6_1,Alanylglycine,L-Glutamine,,HMDB0006899,HMDB0000641,
6_2,6,2,0,E36,6_2,Tauroursodeoxycholic acid,Taurodeoxycholic acid,,HMDB0000874,HMDB0000896,
6_3,6,3,0,E147,6_3,Betaine,L-Valine,5-Aminopentanoic acid,HMDB0000043,HMDB0000883,HMDB0003355
6_4,6,4,0,E258,6_4,Alanylglycine,L-Glutamine,Ureidoisobutyric acid,HMDB0006899,HMDB0000641,HMDB0002031
6_5,6,5,0,E369,6_5,Tauroursodeoxycholic acid,Taurodeoxycholic acid,Taurochenodesoxycholic acid,HMDB0000874,HMDB0000896,HMDB0000951
6_6,6,6,0,E1,6_6,Betaine,,,HMDB0000043,,
6_7,6,7,0,E2,6_7,Alanylglycine,,,HMDB0006899,,
6_8,6,8,0,E3,6_8,Tauroursodeoxycholic acid,,,HMDB0000874,,
7_0,7,0,0,E4,7_0,L-Valine,,,HMDB0000883,,
7_1,7,1,0,E5,7_1,L-Glutamine,,,HMDB0000641,,
7_2,7,2,0,E6,7_2,Taurodeoxycholic acid,,,HMDB0000896,,
7_3,7,3,0,E47,7_3,L-Valine,5-Aminopentanoic acid,,HMDB0000883,HMDB0003355,
7_4,7,4,0,E58,7_4,L-Glutamine,Ureidoisobutyric acid,,HMDB0000641,HMDB0002031,
7_5,7,5,0,E69,7_5,Taurodeoxycholic acid,Taurochenodesoxycholic acid,,HMDB0000896,HMDB0000951,
7_6,7,6,0,E7,7_6,5-Aminopentanoic acid,,,HMDB0003355,,
7_7,7,7,0,E8,7_7,Ureidoisobutyric acid,,,HMDB0002031,,
7_8,7,8,0,E9,7_8,Taurochenodesoxycholic acid,,,HMDB0000951,,
12_0,12,0,1,A1,12_0,Biotin,,,HMDB0000030,,
12_1,12,1,1,A2,12_1,Adenine,,,HMDB0000034,,
12_2,12,2,1,A3,12_2,Glycerophosphocholine,,,HMDB0000086,,
12_3,12,3,1,A4,12_3,L-Tyrosine,,,HMDB0000158,,
12_4,12,4,1,A5,12_4,L-Cystine,,,HMDB0000192,,
12_5,12,5,1,A6,12_5,Pantothenic Acid,,,HMDB0000210,,
12_6,12,6,1,A7,12_6,Ornithine,,,HMDB0000214,,
12_7,12,7,1,A8,12_7,L-Acetylcarnitine,,,HMDB0000201,,
12_8,12,8,1,A9,12_8,Riboflavin,,,HMDB0000244,,
13_0,13,0,1,A10,13_0,Taurine,,,HMDB0000251,,
13_1,13,1,1,A11,13_1,Phosphoserine,,,HMDB0000272,,
13_2,13,2,1,B1,13_2,UDP,,,HMDB0000295,,
13_3,13,3,1,B2,13_3,L-Arginine,,,HMDB0000517,,
13_4,13,4,1,B3,13_4,Creatinine,,,HMDB0000562,,
13_5,13,5,1,B4,13_5,Cytosine,,,HMDB0000630,,
13_6,13,6,1,B5,13_6,Cholesterol Sulfate,,,HMDB0000653,,
13_7,13,7,1,B6,13_7,Stearic Acid,,,HMDB0000827,,
13_8,13,8,1,B7,13_8,L-Tryptophan,,,HMDB0000929,,
14_0,14,0,1,B8,14_0,dATP,,,HMDB0001532,,
14_1,14,1,1,B9,14_1,Oleamide,,,HMDB0002117,,
14_2,14,2,1,B10,14_2,LysoPC(16:0),,,HMDB0010382,,
14_3,14,3,1,C1,14_3,Adenosine,,,HMDB0000050,,
14_4,14,4,1,C2,14_4,Creatine,,,HMDB0000064,,
14_5,14,5,1,C3,14_5,3’ Deoxyadenosine,,,HMDB0000101,,
14_6,14,6,1,C4,14_6,Glutathione (red),,,HMDB0000125,,
14_7,14,7,1,C5,14_7,Guanosine,,,HMDB0000133,,
14_8,14,8,1,C6,14_8,L-Glutamic acid,,,HMDB0000148,,
15_0,15,0,1,C7,15_0,Sphingosine,,,HMDB0000252,,
15_1,15,1,1,C8,15_1,Spermine,,,HMDB0001256,,
15_2,15,2,1,C9,15_2,LysoPE(18:0),,,HMDB0011130,,
15_3,15,3,1,C10,15_3,dGDP,,,HMDB0000960,,
15_4,15,4,1,CD1,15_4,Adenosine,Deoxyguanosine,,HMDB0000050,HMDB0000085,
15_5,15,5,1,CD2,15_5,Creatine,Beta-Guanidinopropionic acid,,HMDB0000064,HMDB0013222,
15_6,15,6,1,CD3,15_6,3’ Deoxyadenosine,5'-Deoxyadenosine,,HMDB0000101,HMDB0001983,
15_7,15,7,1,CD4,15_7,Glutathione (red),Oxidized glutathione,,HMDB0000125,HMDB0003337,
15_8,15,8,1,CD5,15_8,Guanosine,8-Hydroxy-deoxyguanosine,,HMDB0000133,HMDB0003333,
16_0,16,0,1,CD6,16_0,L-Glutamic acid,N-Acetylserine,,HMDB0000148,HMDB0002931,
16_1,16,1,1,CD7,16_1,Sphingosine,Palmitoylethanolamide,,HMDB0000252,HMDB0002100,
16_2,16,2,1,CD8,16_2,Spermine,Spermidine,,HMDB0001256,HMDB0001257,
16_3,16,3,1,CD9,16_3,LysoPE(18:0),LysoPC(15:0),,HMDB0011130,HMDB0010381,
16_4,16,4,1,CD10,16_4,dGDP,ADP,,HMDB0000960,HMDB0001341,
16_5,16,5,1,D1,16_5,Deoxyguanosine,,,HMDB0000085,,
16_6,16,6,1,D2,16_6,Beta-Guanidinopropionic acid,,,HMDB0013222,,
16_7,16,7,1,D3,16_7,5'-Deoxyadenosine,,,HMDB0001983,,
16_8,16,8,1,D4,16_8,Oxidized glutathione,,,HMDB0003337,,
17_0,17,0,1,D5,17_0,8-Hydroxy-deoxyguanosine,,,HMDB0003333,,
17_1,17,1,1,D6,17_1,N-Acetylserine,,,HMDB0002931,,
17_2,17,2,1,D7,17_2,Palmitoylethanolamide,,,HMDB0002100,,
17_3,17,3,1,D8,17_3,Spermidine,,,HMDB0001257,,
17_4,17,4,1,D9,17_4,LysoPC(15:0),,,HMDB0010381,,
17_5,17,5,1,D10,17_5,ADP,,,HMDB0001341,,
17_6,17,6,1,E1,17_6,Betaine,,,HMDB0000043,,
17_7,17,7,1,E2,17_7,Alanylglycine,,,HMDB0006899,,
17_8,17,8,1,E3,17_8,Tauroursodeoxycholic acid,,,HMDB0000874,,
18_0,18,0,1,E14,18_0,Betaine,L-Valine,,HMDB0000043,HMDB0000883,
18_1,18,1,1,E25,18_1,Alanylglycine,L-Glutamine,,HMDB0006899,HMDB0000641,
18_2,18,2,1,E36,18_2,Tauroursodeoxycholic acid,Taurodeoxycholic acid,,HMDB0000874,HMDB0000896,
18_3,18,3,1,E147,18_3,Betaine,L-Valine,5-Aminopentanoic acid,HMDB0000043,HMDB0000883,HMDB0003355
18_4,18,4,1,E258,18_4,Alanylglycine,L-Glutamine,Ureidoisobutyric acid,HMDB0006899,HMDB0000641,HMDB0002031
18_5,18,5,1,E369,18_5,Tauroursodeoxycholic acid,Taurodeoxycholic acid,Taurochenodesoxycholic acid,HMDB0000874,HMDB0000896,HMDB0000951
18_6,18,6,1,E1,18_6,Betaine,,,HMDB0000043,,
18_7,18,7,1,E2,18_7,Alanylglycine,,,HMDB0006899,,
18_8,18,8,1,E3,18_8,Tauroursodeoxycholic acid,,,HMDB0000874,,
19_0,19,0,1,E4,19_0,L-Valine,,,HMDB0000883,,
19_1,19,1,1,E5,19_1,L-Glutamine,,,HMDB0000641,,
19_2,19,2,1,E6,19_2,Taurodeoxycholic acid,,,HMDB0000896,,
19_3,19,3,1,E47,19_3,L-Valine,5-Aminopentanoic acid,,HMDB0000883,HMDB0003355,
19_4,19,4,1,E58,19_4,L-Glutamine,Ureidoisobutyric acid,,HMDB0000641,HMDB0002031,
19_5,19,5,1,E69,19_5,Taurodeoxycholic acid,Taurochenodesoxycholic acid,,HMDB0000896,HMDB0000951,
19_6,19,6,1,E7,19_6,5-Aminopentanoic acid,,,HMDB0003355,,
19_7,19,7,1,E8,19_7,Ureidoisobutyric acid,,,HMDB0002031,,
19_8,19,8,1,E9,19_8,Taurochenodesoxycholic acid,,,HMDB0000951,,
