hmdb_id,cm_name,name
HMDB0000030,Biotin,Biotin
HMDB0000034,Adenine,Adenine
HMDB0000086,Glycerophosphocholine,Glycerophosphocholine
HMDB0000158,L-Tyrosine,L-Tyrosine
HMDB0000192,L-Cystine,L-Cystine
HMDB0000210,,Pantothenic Acid
HMDB0000214,Ornithine,Ornithine
HMDB0000201,L-Acetylcarnitine,L-Acetylcarnitine
HMDB0000244,Riboflavin,Riboflavin
HMDB0000251,Taurine,Taurine
HMDB0000272,Phosphoserine,Phosphoserine
HMDB0000295,Uridine 5'-diphosphate,UDP
HMDB0000517,L-Arginine,L-Arginine
HMDB0000562,Creatinine,Creatinine
HMDB0000630,Cytosine,Cytosine
HMDB0000653,Cholesterol sulfate,Cholesterol Sulfate
HMDB0000827,Stearic acid,Stearic Acid
HMDB0000929,L-Tryptophan,L-Tryptophan
HMDB0001532,Deoxyadenosine triphosphate,dATP
HMDB0002117,Oleamide,Oleamide
HMDB0010382,LysoPC(16:0),LysoPC(16:0)
HMDB0000050,Adenosine,Adenosine
HMDB0000064,Creatine,Creatine
HMDB0000101,Deoxyadenosine,3â€™ Deoxyadenosine
HMDB0000125,Glutathione,Glutathione (red)
HMDB0000133,Guanosine,Guanosine
HMDB0000148,L-Glutamic acid,L-Glutamic acid
HMDB0000252,Sphingosine,Sphingosine
HMDB0001256,Spermine,Spermine
HMDB0000043,Betaine,Betaine
HMDB0000960,dGDP,dGDP
HMDB0006899,Alanylglycine,Alanylglycine
HMDB0011130,LysoPE(18:0/0:0),LysoPE(18:0/0:0)
HMDB0000874,Tauroursodeoxycholic acid,Tauroursodeoxycholic acid
HMDB0000085,Deoxyguanosine,Deoxyguanosine
HMDB0013222,Beta-Guanidinopropionic acid,Beta-Guanidinopropionic acid
HMDB0001983,5'-Deoxyadenosine,5'-Deoxyadenosine
HMDB0003337,Oxidized glutathione,Oxidized glutathione
HMDB0003333,8-Hydroxy-deoxyguanosine,8-Hydroxy-deoxyguanosine
HMDB0002931,N-Acetylserine,N-Acetylserine
HMDB0002100,Palmitoylethanolamide,Palmitoylethanolamide
HMDB0001257,Spermidine,Spermidine
HMDB0010381,LysoPC(15:0),LysoPC(15:0)
HMDB0000883,L-Valine,L-Valine
HMDB0001341,ADP,ADP
HMDB0000641,L-Glutamine,L-Glutamine
HMDB0000896,Taurodeoxycholic acid,Taurodeoxycholic acid
HMDB0003355,5-Aminopentanoic acid,5-Aminopentanoic acid
HMDB0002031,Ureidoisobutyric acid,Ureidoisobutyric acid
HMDB0000951,Taurodeoxycholic acid,Taurochenodesoxycholic acid
